n.th,n.en
"จีน ฟุตบอล ซุปเปอร์ ลีก",China Football Super League
Ireland SSE Airtricity 1st Div,Ireland SSE Airtricity 1st Div
"คอนคาเคฟ ลีก",CONCACAF League
"อินเตอร์เนชั่นนอล เฟรนด์ลี่ (W) U19",International Friendly Women U19
"ปารากวัย พรีเมียร่า ดิวิชั่น",Paraguay Primera Division
"โปแลนด์ 2nd ลีกา",Poland 2nd Liga
"โคลอมเบีย ลีก้า อกิล่า",Colombia Liga Aguila
"เดนมาร์ก ดิวิชั่น 2",Denmark 2nd Div
"อิตาลี ซีรี่ย์ A",ITALY SERIE A
"ตูนีเซีย โปรเฟสชั่นน่อล ลีก 1",Tunisia Professional Ligue 1
Nordic Tournament Women U23 (in Norway),Nordic Tournament Women U23 (in Norway)
Western Australia National Premier League Playoff,Western Australia National Premier League Playoff
"สวีเดน ซุปเปอร์เอทเท่น",SWEDEN SUPERETTAN
"โบลิเวีย โปรเฟสชั่นแนล ฟุตบอล ลีก",Bolivia Professional Football League
"เจแปน J2 ลีก",JAPAN J2 LEAGUE
"ไอร์แลนด์ SSE แอร์ทรีซิตี้ พรีเมียร์ ดิวิชั่น",Ireland SSE Airtricity Premier Division
Trofeo Ciudad De La Linea,Trofeo Ciudad De La Linea
"ชิลี สโกเทียแบงก์ พรีเมียร์ ดิวิชั่น",Chile Scotiabank Primera Division
Vietnam U21 Championship Qualifiers,Vietnam U21 Championship Qualifiers
Australia Victorian Premier League U20,Australia Victorian Premier League U20
International Football Championship U23 (in Vietnam),International Football Championship U23 (in Vietnam)
"นอร์เวย์ OBOS ลีกาเอ็น",Norway OBOS Ligaen
"สโลวาเกีย ซุปเปอร์ ลีก",Slovakia Super League
"เวเนซูเอล่า พรีเมร่า ดิวิชั่น",Venezuela Primera Division
Lamar Hunt US Open Cup,Lamar Hunt US Open Cup
"เดนมาร์ก (R) ลีก",Denmark Reserve League
"สวีเดน โฟล์คแซม U21 ซุปเปอร์เอ็ทเท่น",Sweden Folksam U21 Superettan
Torneo Citta di Vignola,Torneo Citta di Vignola
Iceland 1st Div,Iceland 1st Div
"กระชับมิตร ทีมชาติ U17",International Friendly U17
Albania Super Cup,Albania Super Cup
"เช็ก คัพ",Czech Republic Cup
"สวีเดน คัพ",Sweden Cup
SBS Cup International Youth Soccer (in Japan),SBS Cup International Youth Soccer (in Japan)
